2024/08/28 09:03:50 
===============================
______             _           
|  _  \           | |          
| | | |  ___  ___ | | __ _   _ 
| | | | / _ \/ __|| |/ /| | | |
| |/ / |  __/\__ \|   < | |_| |
|___/   \___||___/|_|\_\ \__, |
                          __/ |
                         |___/
===============================   
 - Desky succsessfully started on: 0.0.0.0:443
 - Proxmox module is up: true
===============================                   
2024/08/28 09:17:25 | 10.192.10.100:44798 > /dashboard/proxmox.
2024/08/28 09:17:25 | 10.192.10.100:44798 > /static/css/proxmox.css.
2024/08/28 09:17:29 | 10.192.10.100:44798 > /dashboard/proxmox.
2024/08/28 09:17:29 | 10.192.10.100:44798 > /static/css/proxmox.css.
2024/08/28 09:17:31 | 10.192.10.100:44104 > /dashboard/proxmox.
2024/08/28 09:17:31 | 10.192.10.100:44104 > /static/css/font-awesome.min.css.
2024/08/28 09:17:31 | 10.192.10.100:44104 > /static/css/proxmox.css.
2024/08/28 09:17:31 | 10.192.10.100:44104 > /static/css/index.css.
2024/08/28 09:17:31 | 10.192.10.100:44104 > /static/images/web-icons/shell.svg.
2024/08/28 09:17:31 | 10.192.10.100:44104 > /static/images/web-icons/proxmox.svg.
2024/08/28 09:17:31 | 10.192.10.100:44104 > /static/images/web-icons/lxc.svg.
2024/08/28 09:17:31 | 10.192.10.100:44104 > /static/images/web-icons/docker.svg.
2024/08/28 09:17:31 | 10.192.10.100:44104 > /static/images/web-icons/vm.svg.
2024/08/28 09:17:31 | 10.192.10.100:44104 > /static/images/image.jpg.
2024/08/28 09:17:31 | 10.192.10.100:44104 > /static/fonts/fontawesome-webfont.woff2?v=4.7.0.
2024/08/28 09:17:57 | 10.192.10.100:44104 > /dashboard/panel.
2024/08/28 09:17:57 | 10.192.10.100:44104 > /api/system.
2024/08/28 09:17:58 | 10.192.10.100:44104 > /dashboard/docker.
2024/08/28 09:17:58 | 10.192.10.100:44104 > /static/css/docker.css.
2024/08/28 09:17:59 | 10.192.10.100:44104 > /dashboard/panel.
2024/08/28 09:17:59 | 10.192.10.100:44104 > /api/system.
2024/08/28 09:18:00 | 10.192.10.100:44104 > /dashboard/proxmox.
2024/08/28 09:18:00 | 10.192.10.100:44104 > /static/css/proxmox.css.
2024/08/28 09:18:02 | 10.192.10.100:44104 > /dashboard/docker.
2024/08/28 09:18:03 | 10.192.10.100:44104 > /dashboard/proxmox.
2024/08/28 09:18:03 | 10.192.10.100:44104 > /static/css/proxmox.css.
2024/08/28 09:18:26 | 10.192.10.100:44104 > /dashboard/proxmox.
2024/08/28 09:18:26 | 10.192.10.100:44104 > /static/css/proxmox.css.
2024/08/28 09:18:39 | 10.192.10.100:41784 > /dashboard/proxmox.
2024/08/28 09:18:39 | 10.192.10.100:41784 > /static/css/font-awesome.min.css.
2024/08/28 09:18:39 | 10.192.10.100:41784 > /static/css/proxmox.css.
2024/08/28 09:18:39 | 10.192.10.100:41784 > /static/css/index.css.
2024/08/28 09:18:39 | 10.192.10.100:41784 > /static/images/web-icons/shell.svg.
2024/08/28 09:18:39 | 10.192.10.100:41784 > /static/images/web-icons/docker.svg.
2024/08/28 09:18:39 | 10.192.10.100:41784 > /static/images/web-icons/proxmox.svg.
2024/08/28 09:18:39 | 10.192.10.100:41784 > /static/images/web-icons/lxc.svg.
